id,japanese,english,words,difficulty,jlpt_level,domain,created_at,grammar_points
c8c05419-6244-4a78-a2e8-d39231ecc8c2,あの人は学生です。,That person is a student.,"[{""word"":""あの人"",""furigana"":""あのひと"",""meaning"":""""},{""word"":""は"",""furigana"":""は"",""meaning"":""topic marker""},{""word"":""学生"",""furigana"":""がくせい"",""meaning"":""student""},{""word"":""です"",""furigana"":""です"",""meaning"":""polite be""}]",1,N5,Daily Life & Housing,2026-05-14 02:54:54.531826+00,[]
f49aa48b-9983-49a9-b8d1-9df00b247a22,本をよみます。,I read a book.,"[{""word"":""本"",""furigana"":""ほん"",""meaning"":""book""},{""word"":""を"",""furigana"":""を"",""meaning"":""object marker""},{""word"":""よみ"",""furigana"":""よみ"",""meaning"":""""},{""word"":""ます"",""furigana"":""ます"",""meaning"":""polite ending""}]",1,N5,Entertainment: Anime & Manga,2026-05-14 02:54:54.531826+00,[]
423290a6-e33c-46d3-a9f0-704f5a036c9d,黄色い花です。,It's a yellow flower.,"[{""word"":""黄色い"",""furigana"":""きいろい"",""meaning"":""yellow""},{""word"":""花"",""furigana"":""はな"",""meaning"":""flower""},{""word"":""です"",""furigana"":""です"",""meaning"":""polite be""}]",1,N5,Colors: Basic,2026-05-14 02:55:53.362168+00,[]
09896e5f-a169-4efd-9973-a2dfea11b29a,緑の木が多いです。,There are many green trees.,"[{""word"":""緑"",""furigana"":""みどり"",""meaning"":""green""},{""word"":""の"",""furigana"":""の"",""meaning"":""possessive""},{""word"":""木"",""furigana"":""き"",""meaning"":""tree, wood, timber""},{""word"":""が"",""furigana"":""が"",""meaning"":""subject marker""},{""word"":""多い"",""furigana"":""おおい"",""meaning"":""many; there are a lot""},{""word"":""です"",""furigana"":""です"",""meaning"":""polite be""}]",1,N5,Colors: Basic,2026-05-14 02:55:53.362168+00,[]
2be2384d-46e1-412f-abda-3b9d1a216362,七つください。,Seven please.,"[{""word"":""七つ"",""furigana"":""ななつ"",""meaning"":""seven things""},{""word"":""ください"",""furigana"":""ください"",""meaning"":""please""}]",1,N5,Food & Drink: Restaurants,2026-05-14 02:54:54.531826+00,[]
58f1eba1-685a-44e9-bea3-296ff23c0764,この車は銀色です。,This car is silver.,"[{""word"":""この"",""furigana"":""この"",""meaning"":""this""},{""word"":""車"",""furigana"":""くるま"",""meaning"":""car, vehicle""},{""word"":""は"",""furigana"":""は"",""meaning"":""topic marker""},{""word"":""銀色"",""furigana"":""ぎんいろ"",""meaning"":""silver (color""},{""word"":""です"",""furigana"":""です"",""meaning"":""polite be""}]",1,N4,Colors: Basic,2026-05-14 02:55:53.362168+00,[]
e880df20-59e3-45e8-8e9d-a974cc2437fc,やまにのぼります。,I climb a mountain.,"[{""word"":""やま"",""furigana"":""やま"",""meaning"":""""},{""word"":""に"",""furigana"":""に"",""meaning"":""direction/target""},{""word"":""のぼり"",""furigana"":""のぼり"",""meaning"":""""},{""word"":""ます"",""furigana"":""ます"",""meaning"":""polite ending""}]",1,N5,Travel: Sightseeing,2026-05-14 02:54:54.531826+00,[]
b0065384-b6de-425c-ab5b-aa004b0bf304,明るい色が好きです。,I like bright colors.,"[{""word"":""明るい"",""furigana"":""あかるい"",""meaning"":""bright (in reference to personality or weather); cheerful""},{""word"":""色"",""furigana"":""いろ"",""meaning"":""color""},{""word"":""が"",""furigana"":""が"",""meaning"":""subject marker""},{""word"":""好き"",""furigana"":""すき"",""meaning"":""liking, fondness, love""},{""word"":""です"",""furigana"":""です"",""meaning"":""polite be""}]",1,N4,Colors: Basic,2026-05-14 02:55:53.362168+00,[]
6495611d-4aa5-423f-8ef7-f212761b98d8,おおきいいえですね。,"It's a big house, isn't it?","[{""word"":""おおきい"",""furigana"":""おおきい"",""meaning"":""""},{""word"":""いえで"",""furigana"":""いえで"",""meaning"":""""},{""word"":""すね"",""furigana"":""すね"",""meaning"":""""}]",1,N5,Daily Life & Housing,2026-05-14 02:54:54.531826+00,[]
44c71b07-5953-41d0-9994-aa69b0591d78,暗い色は落ち着きます。,Dark colors feel calm.,"[{""word"":""暗い"",""furigana"":""くらい"",""meaning"":""dark, gloomy""},{""word"":""色"",""furigana"":""いろ"",""meaning"":""color""},{""word"":""は"",""furigana"":""は"",""meaning"":""topic marker""},{""word"":""落ち着き"",""furigana"":""おちつき"",""meaning"":""calm, composure""},{""word"":""ます"",""furigana"":""ます"",""meaning"":""polite ending""}]",1,N4,Colors: Basic,2026-05-14 02:55:53.362168+00,[]
a4c5deaa-a59a-46f5-9c06-2b381017bbc9,金色の時計を買いました。,I bought a gold watch.,"[{""word"":""金色"",""furigana"":""きんいろ"",""meaning"":""gold (colour""},{""word"":""の"",""furigana"":""の"",""meaning"":""possessive""},{""word"":""時計"",""furigana"":""とけい"",""meaning"":""a watch; a clock""},{""word"":""を"",""furigana"":""を"",""meaning"":""object marker""},{""word"":""買い"",""furigana"":""かい"",""meaning"":""purchase""},{""word"":""ました"",""furigana"":""ました"",""meaning"":""did (polite)""}]",1,N4,Colors: Basic,2026-05-14 02:55:53.362168+00,[]
e4ff2e8b-bd81-482d-aed2-512988a70de9,彼女のファッションセンスは色使いが大胆だ。,Her fashion sense is bold with color usage.,"[{""word"":""彼女"",""furigana"":""かのじょ"",""meaning"":""girlfriend; she""},{""word"":""の"",""furigana"":""の"",""meaning"":""possessive""},{""word"":""ファッションセンス"",""furigana"":""ファッションセンス"",""meaning"":""""},{""word"":""は"",""furigana"":""は"",""meaning"":""topic marker""},{""word"":""色使い"",""furigana"":""いろづかい"",""meaning"":""""},{""word"":""が"",""furigana"":""が"",""meaning"":""subject marker""},{""word"":""大胆"",""furigana"":""だいたん"",""meaning"":""bold, daring, audacious""},{""word"":""だ"",""furigana"":""だ"",""meaning"":""be""}]",1,N1,Colors: Basic,2026-05-14 02:55:53.362168+00,[]
dc7a9dc5-e863-4b4c-ba8f-7c5f79b988c9,ありがとうの反対は？,What is the opposite of thank you?,"[{""word"":""ありがとう"",""furigana"":""ありがとう"",""meaning"":""Thank you""},{""word"":""の"",""furigana"":""の"",""meaning"":""possessive""},{""word"":""反対"",""furigana"":""はんたい"",""meaning"":""oppose, opposition, resistance""},{""word"":""は"",""furigana"":""は"",""meaning"":""topic marker""}]",1,N5,Daily Life & Housing,2026-05-14 02:54:54.531826+00,[]
